Kode voucher,Grup pengguna,Status,Dinonaktifkan,Harga,Periode,Nama belakang,Nama depan,Alias,Nomor telepon,Dibuat di,Diaktifkan di,Kedaluwarsa pada,Perangkat,Pengikatan MAC,Lalu Lintas yang Digunakan/Total,Batasan Unggah/Unduh
4fx5hi,Paket1GB,Tidak digunakan,Tidak,5000,1Hari,,,,,2026/06/05 17:16:38,-,-,0/1,Tidak,0 MB/1 GB,1Mbps/2Mbps
zfj83c,Paket1GB,Tidak digunakan,Tidak,5000,1Hari,,,,,2026/06/05 17:16:38,-,-,0/1,Tidak,0 MB/1 GB,1Mbps/2Mbps
k9m2pQ,Paket3GB,Tidak digunakan,Tidak,10000,3Hari,,,,,2026/06/05 17:16:38,-,-,0/1,Tidak,0 MB/3 GB,2Mbps/5Mbps
xt7wBn,Paket3GB,Tidak digunakan,Tidak,10000,3Hari,,,,,2026/06/05 17:16:38,-,-,0/1,Tidak,0 MB/3 GB,2Mbps/5Mbps
pL3qRs,Paket5GB,Tidak digunakan,Tidak,20000,7Hari,,,,,2026/06/05 17:16:38,-,-,0/1,Tidak,0 MB/5 GB,3Mbps/10Mbps
mN8vTu,Paket5GB,Sedang digunakan,Tidak,20000,7Hari,Budi,Santoso,,08123456789,2026/06/05 17:16:38,2026/06/06 16:40:32,2026/06/13 16:40:32,1/1,Tidak,55 MB/5 GB,3Mbps/10Mbps
wY2dFg,Paket1GB,Kedaluwarsa,Tidak,5000,1Hari,,,,,2026/06/05 17:16:38,2026/06/05 18:00:00,2026/06/06 18:00:00,0/1,Tidak,200 MB/1 GB,1Mbps/2Mbps
hJ6kLm,Paket1GB,Tidak digunakan,Tidak,5000,1Hari,,,,,2026/06/05 17:16:38,-,-,0/1,Tidak,0 MB/1 GB,1Mbps/2Mbps
bQ9nXp,Paket3GB,Tidak digunakan,Tidak,10000,3Hari,,,,,2026/06/05 17:16:38,-,-,0/1,Tidak,0 MB/3 GB,2Mbps/5Mbps
cR4sTv,Paket5GB,Tidak digunakan,Tidak,20000,7Hari,,,,,2026/06/05 17:16:38,-,-,0/1,Tidak,0 MB/5 GB,3Mbps/10Mbps
eW7uYz,Paket1GB,Tidak digunakan,Tidak,5000,1Hari,,,,,2026/06/05 17:16:38,-,-,0/1,Tidak,0 MB/1 GB,1Mbps/2Mbps
fA1bCd,Paket3GB,Tidak digunakan,Tidak,10000,3Hari,,,,,2026/06/05 17:16:38,-,-,0/1,Tidak,0 MB/3 GB,2Mbps/5Mbps
gE5hIj,Paket1GB,Tidak digunakan,Tidak,5000,1Hari,,,,,2026/06/05 17:16:38,-,-,0/1,Tidak,0 MB/1 GB,1Mbps/2Mbps
kL8mNo,Paket5GB,Tidak digunakan,Tidak,20000,7Hari,,,,,2026/06/05 17:16:38,-,-,0/1,Tidak,0 MB/5 GB,3Mbps/10Mbps
pQ2rSt,Paket1GB,Tidak digunakan,Tidak,5000,1Hari,,,,,2026/06/05 17:16:38,-,-,0/1,Tidak,0 MB/1 GB,1Mbps/2Mbps
uV6wXy,Paket3GB,Tidak digunakan,Tidak,10000,3Hari,,,,,2026/06/05 17:16:38,-,-,0/1,Tidak,0 MB/3 GB,2Mbps/5Mbps
zA0bCd,Paket1GB,Tidak digunakan,Tidak,5000,1Hari,,,,,2026/06/05 17:16:38,-,-,0/1,Tidak,0 MB/1 GB,1Mbps/2Mbps
eF4gHi,Paket5GB,Tidak digunakan,Tidak,20000,7Hari,,,,,2026/06/05 17:16:38,-,-,0/1,Tidak,0 MB/5 GB,3Mbps/10Mbps
jK8lMn,Paket3GB,Tidak digunakan,Tidak,10000,3Hari,,,,,2026/06/05 17:16:38,-,-,0/1,Tidak,0 MB/3 GB,2Mbps/5Mbps
oP2qRs,Paket1GB,Tidak digunakan,Tidak,5000,1Hari,,,,,2026/06/05 17:16:38,-,-,0/1,Tidak,0 MB/1 GB,1Mbps/2Mbps
tU6vWx,Paket5GB,Tidak digunakan,Tidak,20000,7Hari,,,,,2026/06/05 17:16:38,-,-,0/1,Tidak,0 MB/5 GB,3Mbps/10Mbps
yZ0aBC,Paket1GB,Tidak digunakan,Tidak,5000,1Hari,,,,,2026/06/05 17:16:38,-,-,0/1,Tidak,0 MB/1 GB,1Mbps/2Mbps
dE4fGh,Paket3GB,Tidak digunakan,Tidak,10000,3Hari,,,,,2026/06/05 17:16:38,-,-,0/1,Tidak,0 MB/3 GB,2Mbps/5Mbps
iJ8kLm,Paket1GB,Tidak digunakan,Tidak,5000,1Hari,,,,,2026/06/05 17:16:38,-,-,0/1,Tidak,0 MB/1 GB,1Mbps/2Mbps
nO2pQr,Paket5GB,Tidak digunakan,Tidak,20000,7Hari,,,,,2026/06/05 17:16:38,-,-,0/1,Tidak,0 MB/5 GB,3Mbps/10Mbps
sT6uVw,Paket3GB,Tidak digunakan,Tidak,10000,3Hari,,,,,2026/06/05 17:16:38,-,-,0/1,Tidak,0 MB/3 GB,2Mbps/5Mbps
xY0zAb,Paket1GB,Tidak digunakan,Ya,5000,1Hari,,,,,2026/06/05 17:16:38,-,-,0/1,Tidak,0 MB/1 GB,1Mbps/2Mbps
